student_id,study_hours_per_week,sleep_hours_per_night,attendance_rate,practice_problems_per_week,prior_programming_experience,study_group,commute_minutes,quiz_average,exam_score
S001,1.3,7.7,71.8,8,Strong,No,0,67.0,64.6
S002,9.4,6.6,74.2,14,None,Yes,52,74.8,81.5
S003,11.2,6.1,70.3,15,Some,No,7,99.1,92.0
S004,10.8,7.6,77.1,16,Strong,No,12,86.4,100.0
S005,8.0,5.6,89.7,15,None,Yes,12,75.7,68.5
S006,5.0,5.3,84.2,12,Strong,No,30,72.6,68.7
S007,4.8,5.1,97.8,21,None,No,0,70.1,68.0
S008,10.7,5.3,79.0,24,Some,Yes,29,90.3,88.5
S009,2.5,7.5,91.5,1,Some,Yes,5,67.0,65.7
S010,11.7,6.9,91.0,4,None,Yes,0,66.2,70.5
S011,11.1,7.9,94.5,5,None,No,41,76.3,75.9
S012,8.9,7.7,90.5,33,Strong,Yes,41,99.1,92.8
S013,3.6,5.3,89.8,29,Some,Yes,31,63.1,70.8
S014,5.9,7.4,100,1,None,No,10,64.5,68.8
S015,3.6,7.8,82.2,15,None,Yes,24,63.5,75.4
S016,4.6,6.5,88.0,0,Strong,Yes,15,65.9,60.5
S017,6.9,8.8,88.3,23,Some,No,2,91.1,88.2
S018,6.8,7.0,82.3,27,Strong,Yes,145,80.9,79.0
S019,5.5,8.0,100,15,Strong,Yes,15,81.9,81.1
S020,7.1,,90.0,14,Some,Yes,24,79.2,92.2
S021,7.6,5.9,83.5,17,None,Yes,27,78.7,76.9
S022,,7.5,85.8,14,Strong,Yes,50,82.4,83.1
S023,10.5,6.1,93.6,19,Strong,Yes,12,81.3,79.9
S024,2.8,7.0,78.3,8,Strong,Yes,18,68.0,64.8
S025,1.9,6.6,100,23,Strong,No,0,87.8,77.9
S026,4.9,7.6,93.8,8,Some,Yes,50,75.4,79.9
S027,8.4,7.5,89.3,5,Strong,Yes,30,89.8,79.8
S028,2.2,6.1,57.8,30,Some,Yes,28,67.4,68.1
S029,12.0,,88.1,0,Some,No,19,84.7,75.2
S030,8.9,6.3,79.4,21,None,Yes,59,83.1,76.8
S031,10.3,9.6,74.7,17,Strong,No,49,84.6,85.5
S032,7.1,6.6,85.0,22,None,Yes,22,84.1,78.3
S033,8.0,9.7,94.4,15,None,Yes,58,60.3,68.6
S034,4.6,7.8,91.3,34,Some,No,11,82.1,83.6
S035,10.1,5.3,84.6,13,None,No,24,63.2,77.2
S036,7.8,7.8,67.5,1,,No,39,71.2,70.5
S037,11.5,8.0,87.2,19,,No,50,79.2,87.4
S038,5.5,7.1,78.3,22,Some,Yes,19,74.6,80.1
S039,6.3,8.0,79.0,12,None,No,34,66.8,74.3
S040,5.1,6.4,82.5,11,Strong,Yes,0,75.6,65.5
S041,6.9,8.4,82.1,17,Strong,No,14,79.4,89.3
S042,10.7,7.1,98.2,23,Strong,No,12,100,96.2
S043,4.6,5.3,63.0,19,None,No,15,60.2,65.1
S044,12.5,6.8,76.3,13,None,No,8,79.4,71.8
S045,9.1,6.9,80.1,0,None,No,52,74.8,88.7
S046,0.3,7.1,100,13,Strong,Yes,14,69.7,62.1
S047,9.0,7.4,82.3,12,Some,Yes,7,69.1,74.5
S048,8.5,8.9,72.0,0,Strong,Yes,53,71.7,80.2
S049,5.5,5.9,68.0,24,Some,No,10,77.7,71.1
S050,9.6,6.6,94.9,12,Some,No,9,89.0,94.5
S051,4.6,,73.1,26,Some,Yes,16,59.5,69.6
S052,12.1,7.2,78.1,16,None,No,34,72.7,72.6
S053,8.0,5.9,83.4,4,None,Yes,51,64.8,66.4
S054,7.9,7.5,76.8,15,None,Yes,25,64.9,68.2
S055,11.4,8.5,100,24,None,No,38,77.1,77.1
S056,9.9,6.4,84.1,13,Some,Yes,26,84.7,74.7
S057,5.2,8.4,97.2,12,Some,No,25,74.0,80.3
S058,6.9,9.5,94.5,23,Some,No,10,84.6,86.1
S059,2.3,7.4,86.1,19,Some,No,11,70.9,69.7
S060,4.6,6.3,90.2,18,None,Yes,31,73.4,62.1
S061,9.3,6.8,100,25,Some,Yes,23,92.1,84.0
S062,10.9,,78.7,26,None,Yes,12,93.0,88.5
S063,7.0,8.0,91.4,19,Some,Yes,15,86.1,77.7
S064,11.7,,94.6,42,Some,Yes,25,93.7,94.1
S065,4.7,8.9,82.4,14,Some,Yes,21,72.8,64.6
S066,1.9,7.7,74.9,11,None,No,38,64.5,65.1
S067,7.6,5.8,74.8,20,Some,No,41,79.7,76.9
S068,5.3,6.2,98.2,22,Some,No,16,84.2,86.3
S069,1.6,7.7,74.3,9,Some,No,29,65.6,59.0
S070,4.6,7.4,64.3,9,None,Yes,30,72.0,75.5
S071,7.2,7.2,78.9,26,Some,No,20,69.6,63.3
S072,10.8,5.8,84.6,26,,No,1,85.4,77.6
S073,6.7,6.5,80.6,10,Some,No,27,49.3,51.4
S074,5.4,7.9,83.2,26,Strong,No,27,82.0,85.7
S075,7.8,9.0,98.5,12,None,Yes,2,72.2,82.2
S076,11.4,7.8,72.2,20,Some,Yes,37,95.1,88.2
S077,4.5,7.0,90.7,15,Strong,No,13,75.6,74.5
S078,9.6,6.0,91.9,25,Strong,No,18,93.9,88.0
S079,7.1,6.9,71.8,8,Some,No,16,66.8,69.8
S080,2.4,7.9,93.6,25,Some,No,23,66.9,70.5
S081,5.6,7.6,87.3,36,None,No,28,83.3,87.9
S082,7.3,7.7,88.4,20,None,Yes,7,80.9,74.3
S083,8.3,8.0,84.0,11,None,Yes,58,82.6,77.6
S084,7.5,7.4,92.3,7,None,Yes,23,63.4,76.3
S085,5.3,6.4,93.7,30,Strong,Yes,20,90.2,91.0
S086,10.3,7.6,79.5,2,None,No,35,79.4,74.0
S087,7.7,7.0,94.7,13,None,Yes,32,74.2,76.0
S088,8.0,7.1,70.2,15,None,Yes,20,72.5,68.2
S089,9.1,5.4,79.6,78,Some,Yes,0,96.1,85.2
S090,,6.2,72.7,15,Strong,No,28,77.1,82.0
S091,5.1,6.8,88.9,0,None,No,32,62.7,64.9
S092,5.1,7.9,91.8,16,None,Yes,47,56.2,61.2
S093,5.5,7.6,91.7,31,None,Yes,31,73.6,82.6
S094,10.1,8.4,85.7,20,Some,No,68,86.9,85.8
S095,4.6,6.1,86.2,33,None,No,31,71.5,67.5
S096,9.2,5.6,100,31,Some,Yes,13,100,80.4
S097,,7.4,84.8,8,Some,No,54,70.4,70.9
S098,4.7,6.2,88.6,30,Strong,Yes,57,88.7,78.3
S099,7.0,5.7,77.4,12,Some,Yes,39,77.2,66.1
S100,5.7,7.2,82.7,19,,No,14,80.9,85.8
S101,3.7,5.1,72.2,23,Some,Yes,42,68.7,88.0
S102,11.2,7.8,79.4,34,Some,Yes,8,89.7,89.2
S103,13.6,6.2,54.4,24,None,Yes,12,77.1,82.9
S104,9.5,7.8,100,8,Strong,No,46,94.3,83.7
S105,7.7,8.0,98.8,15,None,Yes,0,82.2,79.4
S106,,8.2,65.5,12,None,No,14,60.7,75.4
S107,9.6,7.9,96.1,22,Strong,No,21,92.3,86.9
S108,10.7,7.4,71.3,17,Strong,Yes,11,92.8,93.1
S109,10.1,7.3,91.6,25,None,Yes,0,94.1,100
S110,5.0,4.9,88.4,23,Some,No,3,70.6,68.5
S111,8.0,7.7,75.2,17,Strong,Yes,6,76.0,73.0
S112,7.6,6.5,96.9,11,None,No,23,77.4,68.6
S113,5.0,5.6,76.5,12,Some,Yes,23,74.8,69.0
S114,10.3,6.0,89.5,9,Some,No,38,80.5,88.6
S115,8.3,5.3,95.2,28,Some,Yes,23,75.2,83.2
S116,6.0,6.1,79.4,11,Some,No,0,61.8,61.5
S117,7.5,7.1,90.4,19,None,Yes,40,69.7,74.4
S118,10.6,6.4,85.6,19,Some,Yes,28,99.5,82.4
S119,8.9,7.4,79.1,23,Some,Yes,0,98.5,86.0
S120,11.0,6.2,90.7,8,Some,Yes,0,95.0,98.8
S121,8.4,8.2,74.4,25,None,Yes,38,82.2,76.3
S122,6.6,10.0,85.8,24,None,No,22,70.5,66.2
S123,6.9,6.1,91.7,19,Some,No,0,73.4,74.7
S124,8.9,6.2,96.4,24,None,Yes,19,84.5,86.4
S125,8.6,6.6,87.9,0,Some,Yes,24,77.9,68.9
S126,9.2,7.6,89.5,12,None,No,32,82.3,82.5
S127,5.3,,91.7,0,Some,Yes,39,68.3,58.1
S128,8.1,7.0,100,4,Some,Yes,32,84.6,84.3
S129,7.6,8.1,86.8,20,None,No,0,73.2,78.5
S130,9.2,,73.2,14,Strong,Yes,27,89.6,91.9
S131,8.0,7.0,92.0,9,Some,No,28,83.3,80.6
S132,4.3,7.1,85.3,0,Some,Yes,19,64.8,62.0
S133,9.7,5.7,92.9,13,Some,Yes,0,83.9,66.8
S134,2.1,7.7,87.1,20,Some,Yes,43,66.9,71.0
S135,4.5,6.6,95.3,9,Some,No,14,82.7,79.6
S136,4.8,7.2,69.2,13,Some,Yes,2,73.9,81.3
S137,11.3,6.2,71.7,6,Some,Yes,26,77.0,81.6
S138,1.1,6.6,85.4,17,Strong,Yes,15,65.0,61.9
S139,4.5,5.9,100,27,None,No,45,71.4,72.3
S140,7.3,7.0,100,31,Strong,Yes,53,92.3,96.6
